child_id,group,question_id,question_type,shown_letters,target_letter,selected_letter,correct,response_time_ms
100,dyslexic,q69,same_different,"q,q",same,different,0,2251
430,non-dyslexic,q94,same_different,"q,q",same,same,1,1288
34,non-dyslexic,q28,matching,"b,n,p",p,u,0,1182
408,dyslexic,q16,matching,"n,u",n,n,1,1803
129,non-dyslexic,q27,same_different,"u,u",same,same,1,1122
793,dyslexic,q77,same_different,"p,d",different,different,1,2261
113,non-dyslexic,q4,same_different,"b,p",different,different,1,1135
179,dyslexic,q17,matching,"q,u",u,u,1,1626
516,dyslexic,q79,same_different,"n,u",different,different,1,2394
63,non-dyslexic,q52,matching,"n,q,b",n,n,1,967
130,dyslexic,q82,matching,"q,m,n",m,m,1,2147
874,non-dyslexic,q99,same_different,"q,u",different,different,1,1366
426,non-dyslexic,q41,matching,"p,d,q",p,p,1,910
443,dyslexic,q95,matching,"m,u",u,u,1,1910
895,non-dyslexic,q97,matching,"p,m",m,m,1,1520
218,dyslexic,q62,same_different,"u,u",same,same,1,1712
286,non-dyslexic,q55,same_different,"m,n",different,different,1,1053
720,non-dyslexic,q44,matching,"m,n",n,n,1,854
765,non-dyslexic,q49,matching,"p,u",u,u,1,1533
87,non-dyslexic,q20,same_different,"u,u",same,same,1,1422
435,non-dyslexic,q57,matching,"p,q",p,p,1,1432
684,dyslexic,q29,matching,"d,p",d,q,0,1779
123,dyslexic,q96,matching,"m,n,d",d,d,1,2174
74,dyslexic,q95,same_different,"q,q",same,same,1,1867
440,non-dyslexic,q91,matching,"b,p,d",d,d,1,1192
448,non-dyslexic,q32,matching,"q,p",p,p,1,991
523,non-dyslexic,q68,same_different,"u,u",same,different,0,1011
106,dyslexic,q26,same_different,"m,d",different,different,1,1778
644,non-dyslexic,q97,matching,"u,n,p",u,u,1,1393
647,dyslexic,q36,same_different,"p,p",same,same,1,1452
378,non-dyslexic,q10,same_different,"m,u",different,different,1,1556
918,dyslexic,q74,same_different,"p,p",same,same,1,1578
106,non-dyslexic,q44,same_different,"m,m",same,same,1,1360
537,non-dyslexic,q21,matching,"q,p,m",q,q,1,1158
338,dyslexic,q87,matching,"p,b",p,q,0,2557
716,non-dyslexic,q17,same_different,"p,p",same,same,1,1101
720,non-dyslexic,q95,same_different,"n,n",same,same,1,1250
185,non-dyslexic,q44,matching,"d,b",b,b,1,1032
790,non-dyslexic,q95,same_different,"n,p",different,different,1,1224
167,dyslexic,q89,same_different,"n,n",same,same,1,2196
993,non-dyslexic,q37,matching,"p,q",p,p,1,1496
473,non-dyslexic,q100,matching,"d,u,m",d,d,1,1017
493,non-dyslexic,q71,same_different,"n,m",different,different,1,1033
461,non-dyslexic,q19,matching,"p,b,q",p,p,1,1242
396,non-dyslexic,q48,same_different,"b,p",different,different,1,1180
141,dyslexic,q61,same_different,"u,u",same,same,1,2347
20,dyslexic,q20,matching,"p,b",p,p,1,2213
469,dyslexic,q64,same_different,"n,m",different,different,1,1807
2,non-dyslexic,q31,matching,"m,p",m,n,0,1448
568,dyslexic,q61,same_different,"n,q",different,different,1,1507
808,dyslexic,q31,same_different,"u,m",different,different,1,1535
560,dyslexic,q83,same_different,"u,u",same,same,1,2092
831,dyslexic,q92,matching,"b,d",b,b,1,1848
408,non-dyslexic,q70,matching,"p,u",p,p,1,1208
128,non-dyslexic,q56,matching,"p,d,q",q,q,1,1399
821,dyslexic,q55,same_different,"q,m",different,different,1,1782
106,dyslexic,q85,matching,"d,n,q",n,n,1,2234
630,non-dyslexic,q36,same_different,"b,n",different,different,1,970
147,non-dyslexic,q87,matching,"d,n",n,n,1,1388
620,dyslexic,q58,matching,"m,d",d,d,1,2136
256,non-dyslexic,q4,same_different,"q,q",same,same,1,1266
267,non-dyslexic,q28,matching,"b,d",b,b,1,1277
830,non-dyslexic,q41,matching,"p,d,n",d,d,1,975
812,dyslexic,q64,same_different,"p,m",different,different,1,1997
627,non-dyslexic,q9,matching,"m,q,n",n,n,1,1288
76,non-dyslexic,q88,matching,"u,d",d,d,1,887
531,dyslexic,q22,same_different,"p,p",same,different,0,2003
867,dyslexic,q26,matching,"m,u,b",b,b,1,2154
158,dyslexic,q80,matching,"u,b",u,u,1,2253
591,dyslexic,q27,matching,"q,n",n,n,1,1832
251,non-dyslexic,q88,matching,"n,b",n,n,1,1413
209,dyslexic,q19,matching,"n,p,q",n,m,0,2002
327,dyslexic,q16,matching,"b,u",u,m,0,1891
986,non-dyslexic,q21,matching,"d,u,q",q,q,1,1242
24,dyslexic,q51,matching,"b,u,p",u,u,1,2430
689,non-dyslexic,q69,same_different,"u,u",same,same,1,1369
413,dyslexic,q52,same_different,"m,m",same,same,1,1573
517,non-dyslexic,q71,matching,"d,b",b,b,1,1289
962,dyslexic,q19,same_different,"m,m",same,same,1,1474
731,dyslexic,q61,matching,"p,m",m,m,1,2220
863,dyslexic,q44,matching,"q,b,p",b,b,1,1975
316,non-dyslexic,q93,same_different,"m,m",same,same,1,1539
234,non-dyslexic,q75,matching,"d,n,u",d,d,1,960
20,non-dyslexic,q54,same_different,"q,q",same,same,1,1470
745,dyslexic,q18,same_different,"m,p",different,different,1,1865
980,dyslexic,q69,matching,"m,q,d",m,m,1,1762
965,non-dyslexic,q39,matching,"p,q,u",u,n,0,1153
125,non-dyslexic,q70,matching,"p,b",b,d,0,1267
672,dyslexic,q62,same_different,"d,d",same,same,1,1713
112,non-dyslexic,q76,same_different,"d,b",different,different,1,1051
103,non-dyslexic,q92,matching,"b,m",b,b,1,1409
667,dyslexic,q37,matching,"u,b",u,u,1,2149
936,non-dyslexic,q54,same_different,"b,q",different,different,1,1105
10,dyslexic,q78,same_different,"p,p",same,same,1,2062
911,non-dyslexic,q65,matching,"p,d",d,d,1,993
755,dyslexic,q38,same_different,"d,m",different,same,0,2355
528,dyslexic,q52,same_different,"d,d",same,different,0,1472
393,dyslexic,q97,matching,"p,n",n,n,1,1633
122,non-dyslexic,q21,matching,"n,b,p",b,b,1,1058
490,dyslexic,q96,matching,"u,m,d",u,u,1,2030
539,non-dyslexic,q91,matching,"b,m",b,b,1,995
336,non-dyslexic,q57,same_different,"n,d",different,different,1,1436
829,dyslexic,q17,matching,"m,q",q,m,0,1660
764,dyslexic,q10,same_different,"q,p",different,different,1,1478
957,non-dyslexic,q37,matching,"p,q,n",q,q,1,1386
670,non-dyslexic,q16,same_different,"m,q",different,different,1,1028
775,dyslexic,q39,matching,"m,q,d",m,m,1,1628
194,non-dyslexic,q93,same_different,"b,b",same,same,1,877
212,dyslexic,q77,same_different,"q,m",different,same,0,1839
46,non-dyslexic,q30,same_different,"u,u",same,different,0,1226
590,dyslexic,q77,matching,"n,m",n,n,1,1696
571,non-dyslexic,q95,same_different,"n,n",same,same,1,1316
688,dyslexic,q68,matching,"d,p,q",d,m,0,1703
308,non-dyslexic,q19,matching,"q,m,n",q,q,1,1113
339,non-dyslexic,q58,matching,"b,p",p,p,1,858
193,non-dyslexic,q76,same_different,"q,d",different,different,1,869
960,dyslexic,q95,same_different,"n,q",different,different,1,2172
407,non-dyslexic,q71,matching,"q,m,p",m,m,1,1452
478,dyslexic,q93,matching,"p,u",u,u,1,2340
760,dyslexic,q34,matching,"p,d",d,d,1,1778
564,non-dyslexic,q88,matching,"q,d,p",q,q,1,1484
189,non-dyslexic,q70,same_different,"m,b",different,different,1,1044
7,non-dyslexic,q81,same_different,"b,b",same,same,1,1361
62,non-dyslexic,q86,matching,"b,m",m,m,1,1526
282,non-dyslexic,q37,same_different,"m,n",different,different,1,1010
941,dyslexic,q20,same_different,"d,m",different,same,0,1774
81,dyslexic,q52,matching,"p,n",p,p,1,2444
778,dyslexic,q52,matching,"b,n,u",u,u,1,2022
661,non-dyslexic,q73,same_different,"m,m",same,different,0,1501
278,dyslexic,q10,matching,"d,p",d,n,0,1739
841,non-dyslexic,q51,same_different,"p,d",different,different,1,1371
919,non-dyslexic,q50,same_different,"u,n",different,different,1,1167
101,non-dyslexic,q10,matching,"u,p,b",b,b,1,1386
234,dyslexic,q49,matching,"b,m,p",b,d,0,1713
390,non-dyslexic,q82,same_different,"n,n",same,same,1,883
456,dyslexic,q35,same_different,"d,d",same,same,1,2099
418,dyslexic,q12,matching,"u,q,b",q,q,1,2218
743,non-dyslexic,q32,same_different,"n,n",same,same,1,1200
150,dyslexic,q56,matching,"u,b,p",b,u,0,2166
609,non-dyslexic,q59,same_different,"d,d",same,same,1,1273
451,dyslexic,q84,same_different,"p,u",different,different,1,1970
182,non-dyslexic,q41,matching,"m,d,p",d,d,1,1295
117,non-dyslexic,q26,same_different,"n,n",same,same,1,1126
817,dyslexic,q89,same_different,"u,q",different,different,1,1771
259,non-dyslexic,q92,matching,"q,m",m,m,1,1476
946,non-dyslexic,q89,matching,"n,m,u",u,b,0,1222
681,dyslexic,q83,same_different,"m,n",different,different,1,2254
989,non-dyslexic,q14,same_different,"b,b",same,same,1,1519
705,non-dyslexic,q58,matching,"p,b",b,b,1,1246
119,non-dyslexic,q94,same_different,"p,p",same,same,1,1456
357,non-dyslexic,q57,matching,"b,n,u",b,b,1,1084
820,dyslexic,q95,same_different,"m,d",different,different,1,1954
238,non-dyslexic,q81,same_different,"d,n",different,different,1,1117
607,non-dyslexic,q1,same_different,"d,p",different,different,1,1011
105,non-dyslexic,q69,same_different,"p,p",same,same,1,1436
990,non-dyslexic,q77,matching,"p,u",u,u,1,1261
605,dyslexic,q18,matching,"b,d,p",p,p,1,1904
611,dyslexic,q50,matching,"m,d",d,d,1,1671
863,non-dyslexic,q7,matching,"d,q",q,q,1,1409
728,non-dyslexic,q63,same_different,"b,b",same,same,1,1107
282,dyslexic,q37,same_different,"u,q",different,same,0,2047
524,dyslexic,q15,matching,"m,b,q",q,q,1,1861
754,non-dyslexic,q97,same_different,"p,p",same,same,1,1001
887,non-dyslexic,q100,same_different,"d,n",different,different,1,1280
631,dyslexic,q27,same_different,"u,b",different,different,1,2148
173,dyslexic,q91,matching,"u,m,b",u,q,0,2355
284,non-dyslexic,q17,same_different,"d,u",different,different,1,1327
146,non-dyslexic,q35,matching,"n,b",b,b,1,1261
959,non-dyslexic,q59,matching,"u,n",u,u,1,1431
681,non-dyslexic,q9,matching,"q,p",p,p,1,1285
592,dyslexic,q63,matching,"b,n",n,n,1,2391
452,non-dyslexic,q55,same_different,"n,d",different,different,1,1103
671,dyslexic,q11,matching,"b,q",q,d,0,2006
94,non-dyslexic,q1,same_different,"q,q",same,same,1,1257
9,non-dyslexic,q16,matching,"b,d,q",b,b,1,930
321,dyslexic,q39,same_different,"q,d",different,different,1,1605
577,dyslexic,q84,same_different,"q,p",different,different,1,1660
631,non-dyslexic,q28,same_different,"b,d",different,different,1,1282
987,non-dyslexic,q18,same_different,"p,p",same,same,1,1290
964,non-dyslexic,q85,matching,"n,q",q,q,1,1171
396,dyslexic,q64,same_different,"m,b",different,same,0,1634
882,non-dyslexic,q54,matching,"u,q",u,u,1,872
269,dyslexic,q8,matching,"q,n,u",q,q,1,2107
157,dyslexic,q40,same_different,"m,d",different,different,1,1834
601,non-dyslexic,q84,same_different,"p,p",same,different,0,1058
251,dyslexic,q56,same_different,"q,m",different,different,1,2327
759,dyslexic,q2,same_different,"n,n",same,different,0,2067
802,non-dyslexic,q34,same_different,"p,d",different,different,1,1117
922,dyslexic,q55,matching,"n,m,b",m,m,1,1782
512,non-dyslexic,q22,matching,"m,n",m,m,1,1321
46,non-dyslexic,q2,same_different,"b,b",same,different,0,992
567,non-dyslexic,q92,matching,"q,n",n,n,1,1025
382,dyslexic,q87,same_different,"d,u",different,same,0,2478
71,non-dyslexic,q37,matching,"b,p,d",p,p,1,1300
638,dyslexic,q48,matching,"d,b",b,b,1,2042
652,non-dyslexic,q2,matching,"u,n,p",u,u,1,1150
504,non-dyslexic,q19,matching,"u,m",m,m,1,1298
998,non-dyslexic,q75,same_different,"m,d",different,different,1,1396
446,non-dyslexic,q17,same_different,"p,u",different,same,0,1381
852,non-dyslexic,q41,matching,"d,u",d,d,1,1083
478,dyslexic,q16,matching,"p,q,u",p,p,1,2401
312,non-dyslexic,q90,same_different,"d,d",same,same,1,1265
526,dyslexic,q39,matching,"q,u",q,q,1,1539
125,dyslexic,q100,same_different,"d,u",different,different,1,2210
87,non-dyslexic,q34,same_different,"b,b",same,same,1,954
927,non-dyslexic,q43,same_different,"b,b",same,different,0,1428
405,non-dyslexic,q49,matching,"d,p",p,p,1,960
629,non-dyslexic,q32,matching,"b,u,p",u,u,1,1168
906,non-dyslexic,q32,same_different,"q,q",same,same,1,1384
935,non-dyslexic,q42,matching,"p,m",p,p,1,1101
829,non-dyslexic,q68,matching,"d,b",d,d,1,1208
836,non-dyslexic,q95,same_different,"u,d",different,same,0,1287
958,non-dyslexic,q23,same_different,"d,d",same,same,1,1318
29,non-dyslexic,q46,same_different,"m,d",different,different,1,1442
317,dyslexic,q5,same_different,"b,d",different,different,1,1889
340,non-dyslexic,q26,same_different,"p,p",same,same,1,1146
23,dyslexic,q91,same_different,"u,b",different,same,0,2401
383,non-dyslexic,q85,matching,"p,u,d",p,p,1,1410
984,non-dyslexic,q41,same_different,"n,m",different,same,0,1222
682,non-dyslexic,q23,matching,"d,u,b",b,m,0,1389
187,non-dyslexic,q79,same_different,"n,n",same,same,1,1329
80,dyslexic,q41,same_different,"n,b",different,different,1,2231
458,dyslexic,q27,same_different,"n,n",same,different,0,2137
50,dyslexic,q94,matching,"q,p,m",p,p,1,2037
667,non-dyslexic,q29,same_different,"q,b",different,different,1,901
268,non-dyslexic,q10,matching,"n,b",n,n,1,1474
32,non-dyslexic,q84,same_different,"m,m",same,same,1,1058
420,non-dyslexic,q93,matching,"d,b,n",b,b,1,1341
56,dyslexic,q55,same_different,"p,n",different,different,1,1505
212,dyslexic,q38,same_different,"q,q",same,same,1,2069
272,dyslexic,q70,matching,"p,d,q",p,p,1,1943
232,non-dyslexic,q73,same_different,"d,n",different,different,1,1290
424,non-dyslexic,q76,same_different,"m,b",different,different,1,1365
704,non-dyslexic,q61,same_different,"q,q",same,different,0,963
585,non-dyslexic,q74,same_different,"b,b",same,different,0,1065
130,dyslexic,q11,matching,"u,m",m,m,1,2161
90,dyslexic,q51,matching,"u,b,m",m,m,1,1857
425,dyslexic,q73,same_different,"b,m",different,same,0,2425
902,dyslexic,q53,matching,"m,u,q",m,m,1,1848
634,non-dyslexic,q89,matching,"n,d,b",b,b,1,1170
21,dyslexic,q39,matching,"u,d",u,u,1,2274
793,non-dyslexic,q35,matching,"d,q",d,m,0,1490
529,non-dyslexic,q8,same_different,"b,p",different,different,1,1481
30,dyslexic,q26,same_different,"d,d",same,different,0,2171
281,dyslexic,q60,matching,"d,p",p,p,1,1702
601,non-dyslexic,q45,same_different,"u,p",different,different,1,1098
396,dyslexic,q74,same_different,"u,d",different,different,1,1841
420,non-dyslexic,q100,same_different,"q,d",different,different,1,865
259,non-dyslexic,q40,matching,"q,p,d",p,p,1,1492
407,non-dyslexic,q1,matching,"p,n,b",n,n,1,1246
333,non-dyslexic,q34,matching,"b,m",m,m,1,1127
27,non-dyslexic,q38,matching,"n,b,m",m,d,0,1336
731,dyslexic,q69,matching,"u,d,m",u,u,1,1914
759,dyslexic,q72,same_different,"n,p",different,different,1,1818
893,dyslexic,q43,matching,"q,b,u",q,n,0,2152
73,non-dyslexic,q25,same_different,"u,u",same,same,1,893
141,non-dyslexic,q44,matching,"p,n",p,p,1,1384
647,non-dyslexic,q41,same_different,"b,b",same,same,1,1119
783,dyslexic,q98,same_different,"d,d",same,same,1,1961
393,dyslexic,q69,same_different,"n,p",different,same,0,2310
196,dyslexic,q1,same_different,"d,n",different,different,1,1603
516,non-dyslexic,q22,same_different,"u,u",same,same,1,1484
537,dyslexic,q88,same_different,"p,p",same,same,1,2473
20,dyslexic,q94,same_different,"d,d",same,same,1,1619
729,non-dyslexic,q5,matching,"m,b",m,m,1,832
707,dyslexic,q57,matching,"q,n,d",q,q,1,2047
309,non-dyslexic,q13,matching,"q,b",q,q,1,1035
204,non-dyslexic,q100,matching,"p,n",n,n,1,980
509,non-dyslexic,q89,matching,"b,n",b,n,0,1343
973,dyslexic,q66,same_different,"n,n",same,same,1,1752
304,dyslexic,q7,same_different,"u,d",different,same,0,1941
321,non-dyslexic,q15,same_different,"u,u",same,same,1,1058
367,non-dyslexic,q80,matching,"u,p,d",u,u,1,1336
856,dyslexic,q62,matching,"d,n",d,p,0,1612
934,non-dyslexic,q73,matching,"u,p,m",u,u,1,1056
943,non-dyslexic,q53,matching,"n,p,b",b,b,1,1533
762,non-dyslexic,q73,same_different,"n,p",different,different,1,1007
678,non-dyslexic,q62,matching,"d,m,n",d,d,1,1089
870,non-dyslexic,q64,same_different,"b,b",same,same,1,1096
520,dyslexic,q83,matching,"q,u",u,u,1,2024
324,dyslexic,q64,same_different,"b,b",same,same,1,1423
811,non-dyslexic,q80,matching,"n,u",u,p,0,912
865,non-dyslexic,q72,matching,"n,q,b",n,n,1,1027
350,dyslexic,q82,matching,"n,b,u",n,n,1,2424
761,non-dyslexic,q14,matching,"b,q",b,b,1,1178
347,dyslexic,q54,same_different,"n,u",different,same,0,1978
675,non-dyslexic,q65,same_different,"q,b",different,different,1,1392
495,non-dyslexic,q100,same_different,"n,n",same,same,1,1005
674,non-dyslexic,q42,matching,"p,q",q,m,0,971
423,non-dyslexic,q96,matching,"n,u,m",m,m,1,1173
732,dyslexic,q45,same_different,"n,u",different,different,1,2132
653,dyslexic,q15,matching,"n,u,m",u,q,0,2230
536,dyslexic,q49,same_different,"b,b",same,same,1,2245
294,non-dyslexic,q19,same_different,"n,n",same,same,1,1282
105,non-dyslexic,q87,same_different,"n,u",different,different,1,1271
681,dyslexic,q49,matching,"m,b,n",n,n,1,2234
882,non-dyslexic,q29,matching,"u,n",u,u,1,1155
77,dyslexic,q23,same_different,"q,q",same,same,1,1574
599,non-dyslexic,q1,matching,"b,d",d,d,1,1233
809,non-dyslexic,q46,same_different,"u,u",same,same,1,1121
70,non-dyslexic,q21,matching,"b,p,d",b,b,1,1231
301,dyslexic,q97,matching,"b,n",n,n,1,2490
629,non-dyslexic,q32,same_different,"n,n",same,same,1,1014
263,non-dyslexic,q37,same_different,"m,p",different,different,1,1309
304,non-dyslexic,q25,matching,"d,m",d,d,1,1186
645,non-dyslexic,q88,matching,"m,n",n,n,1,1064
703,dyslexic,q59,matching,"b,d",d,d,1,2046
933,dyslexic,q50,matching,"p,b,q",q,q,1,1570
738,non-dyslexic,q97,same_different,"n,n",same,same,1,1271
309,non-dyslexic,q37,matching,"q,d",q,q,1,1339
303,non-dyslexic,q19,matching,"b,m,n",b,b,1,951
611,dyslexic,q71,same_different,"p,d",different,same,0,1806
423,non-dyslexic,q66,same_different,"d,d",same,same,1,1027
186,non-dyslexic,q73,same_different,"u,u",same,same,1,1268
69,dyslexic,q26,matching,"n,u",n,n,1,2051
922,dyslexic,q63,matching,"n,m,d",d,d,1,2307
982,non-dyslexic,q1,matching,"p,u,d",d,d,1,1409
457,dyslexic,q40,matching,"n,m",n,d,0,2449
202,dyslexic,q81,same_different,"n,b",different,same,0,2053
833,non-dyslexic,q52,same_different,"b,b",same,same,1,1472
670,non-dyslexic,q47,matching,"d,q,m",m,m,1,1300
11,non-dyslexic,q79,same_different,"u,u",same,same,1,1523
676,non-dyslexic,q19,matching,"u,q",u,u,1,1237
44,non-dyslexic,q67,matching,"b,u,p",b,b,1,1495
850,dyslexic,q95,matching,"q,n",n,n,1,2088
530,dyslexic,q29,matching,"u,q,m",u,u,1,1654
170,dyslexic,q66,matching,"d,p",d,d,1,1908
738,dyslexic,q87,matching,"n,q",n,n,1,1676
607,dyslexic,q81,same_different,"m,m",same,same,1,1716
982,non-dyslexic,q73,same_different,"n,u",different,different,1,942
460,non-dyslexic,q61,matching,"m,d,u",m,m,1,1390
172,non-dyslexic,q44,matching,"d,q",q,q,1,867
536,non-dyslexic,q65,matching,"d,q",d,d,1,1472
771,dyslexic,q62,same_different,"m,u",different,same,0,2366
665,non-dyslexic,q54,matching,"d,q,n",q,q,1,1414
436,dyslexic,q62,same_different,"u,u",same,different,0,1883
194,dyslexic,q96,same_different,"m,m",same,same,1,2122
705,non-dyslexic,q53,matching,"n,m,p",m,m,1,1377
375,non-dyslexic,q88,matching,"m,u,q",m,m,1,1491
260,non-dyslexic,q74,matching,"n,d,b",b,b,1,990
220,non-dyslexic,q44,same_different,"d,q",different,different,1,930
483,non-dyslexic,q56,same_different,"b,b",same,same,1,1023
394,non-dyslexic,q52,matching,"u,d",d,d,1,1174
954,non-dyslexic,q37,same_different,"b,m",different,different,1,1145
37,dyslexic,q84,same_different,"d,b",different,same,0,1932
405,non-dyslexic,q26,same_different,"n,n",same,same,1,1276
850,non-dyslexic,q75,matching,"m,d",d,n,0,870
180,non-dyslexic,q14,same_different,"m,m",same,same,1,1390
898,non-dyslexic,q74,matching,"m,q,d",q,m,0,1421
883,dyslexic,q15,matching,"n,u",n,q,0,2468
529,non-dyslexic,q90,matching,"q,n",n,n,1,1103
322,dyslexic,q74,matching,"q,n",q,q,1,1714
212,dyslexic,q32,matching,"b,n",n,n,1,2320
981,dyslexic,q62,matching,"m,p,q",m,n,0,1787
